iter	Passed	Remaining
0	61	60980
1	61	30789
2	62	20706
3	62	15647
4	63	12615
5	63	10588
6	64	9146
7	64	8057
8	65	7211
9	66	6539
10	66	5999
11	67	5557
12	68	5173
13	68	4844
14	69	4544
15	69	4280
16	69	4045
17	70	3836
18	71	3679
19	72	3532
20	72	3382
21	73	3250
22	73	3135
23	74	3025
24	74	2924
25	75	2826
26	75	2738
27	76	2651
28	76	2569
29	77	2499
30	77	2430
31	78	2363
32	78	2305
33	79	2250
34	79	2197
35	80	2149
36	80	2104
37	81	2058
38	81	2017
39	82	1976
40	82	1937
41	83	1902
42	84	1870
43	84	1838
44	85	1816
45	86	1802
46	87	1771
47	88	1745
48	88	1717
49	89	1694
50	89	1672
51	90	1650
52	91	1628
53	91	1606
54	92	1584
55	92	1563
56	93	1553
57	94	1536
58	95	1521
59	96	1507
60	96	1489
61	97	1475
62	97	1457
63	98	1439
64	99	1424
65	99	1411
66	100	1396
67	100	1380
68	101	1364
69	101	1350
70	102	1335
71	102	1320
72	103	1311
73	103	1297
74	104	1284
75	104	1270
76	104	1257
77	105	1245
78	105	1233
79	106	1220
80	106	1208
81	106	1196
82	107	1185
83	107	1176
84	108	1168
85	109	1159
86	109	1152
87	110	1143
88	110	1134
89	111	1125
90	112	1119
91	112	1110
92	113	1104
93	113	1095
94	114	1087
95	115	1083
96	115	1076
97	116	1070
98	117	1068
99	117	1061
100	118	1055
101	119	1048
102	119	1042
103	120	1037
104	121	1031
105	121	1027
106	122	1020
107	122	1012
108	122	1005
109	123	998
110	124	994
111	124	988
112	125	985
113	126	981
114	127	977
115	127	971
116	128	967
117	129	964
118	129	959
119	130	957
120	131	952
121	131	945
122	132	942
123	132	937
124	133	935
125	134	930
126	134	926
127	136	930
128	137	926
129	137	921
130	138	916
131	138	911
132	138	905
133	139	900
134	139	894
135	140	889
136	140	885
137	140	880
138	141	876
139	141	871
140	142	866
141	142	860
142	142	856
143	143	852
144	144	850
145	145	853
146	146	851
147	147	848
148	148	846
149	148	842
150	149	839
151	150	837
152	150	834
153	151	830
154	151	827
155	152	824
156	152	819
157	153	816
158	153	812
159	153	808
